Time,Right Atrium,Right Ventricle
2.78,0.125,0.251
2.79,0.125,0.126
2.8,0.125,0.126
2.81,0.125,0.126
2.82,0.125,0.879
2.83,0,1.131
2.84,0,1.256
2.85,0,1.382
2.86,0,1.507
2.87,0.125,1.507
2.88,0.125,1.507
2.89,0.125,1.382
2.9,0,1.382
2.91,0.125,1.256
2.92,0,1.131
2.93,0,1.005
2.94,0,0.754
2.95,0,0.377
2.96,0.125,0.126
2.97,0.125,0.126
2.98,0.125,0.126
2.99,0,0.126
3,0.125,0.126
